"scenario","timeperiod","compartment","target","area","volume","age","hsize","avail_thlb","transition_area","transition_volume"
"cg_partner_agreement_a3_r40",100,"Dawson_Creek_TSA","1370000","7908.37026870772","1369973.31326813","106.182691486898","2.47755960799114","28530.6522697285","5663.65924357921","829796.112370015"
"cg_partner_agreement_a3_r40",105,"Dawson_Creek_TSA","1370000","8063.90006875768","1369977.59521263","106.592579435079","2.92594342117478","19540.200195089","5710.73284494653","810990.480707983"
"cg_partner_agreement_a3_r40",5,"TFL48","330000","1270.2400000006","329994.686440159","138.908206323198","0.587801943544931","92829.4119988531","55","19550.7488"
"cg_partner_agreement_a3_r40",10,"TFL48","330000","1345.33599993736","329960.019641867","141.226263179335","0.756231590746125","95131.6269992143","14.2","3061.438"
"cg_partner_agreement_a3_r40",15,"TFL48","330000","1329.2","329996.3194","148.224646403852","1.88806818181818","101459.146999449","82.8","27072.7188"
"cg_partner_agreement_a3_r40",20,"TFL48","330000","1259.8","329959.1068","144.952055881886","2.46536203522505","106703.346999452","119.2","21652.2768"
"cg_partner_agreement_a3_r40",25,"TFL48","330000","1364.6","329975.6756","145.891250183204","0.438637094181935","105951.52199854","162.2","21538.6628"
"cg_partner_agreement_a3_r40",30,"TFL48","330000","1441.35999997854","329967.138035523","128.472215130546","1.20213511257593","104977.276998356","341","43393.5968"
"cg_partner_agreement_a3_r40",35,"TFL48","330000","1495.7409999609","329996.229117992","120.268848016435","2.31538854483111","102493.276998356","432.2","57343.1848"
"cg_partner_agreement_a3_r40",40,"TFL48","330000","1656.57019999027","329959.95886626","111.245465118084","3.33985927417394","99568.2769983336","751.778199994564","98929.1121792504"
"cg_partner_agreement_a3_r40",45,"TFL48","330000","1844.99400000572","329969.178231382","90.0159935482008","1.1819308135847","98735.2769983336","1194.6","159163.036"
"cg_partner_agreement_a3_r40",50,"TFL48","330000","1548.26199998856","329941.984374746","119.300037073578","0.687505328591721","95053.9169984981","652","85881.24"
"cg_partner_agreement_a3_r40",55,"TFL48","330000","1521.80360000134","329964.296146149","123.450909965499","1.20586656101532","90501.3889982626","652.915999937057","85699.1899318039"
"cg_partner_agreement_a3_r40",60,"TFL48","330000","1487.6","329965.351","114.836111858026","2.54290598290598","87525.3889982626","680.2","86391.36"
"cg_partner_agreement_a3_r40",65,"TFL48","330000","1689.4","329994.4286","130.132117911685","3.40604838709677","81496.3889982626","775","103227.846"
"cg_partner_agreement_a3_r40",70,"TFL48","330000","1483.59400000572","329966.331443382","150.755003053574","2.77826591761371","75696.1089981124","470.4","65662.84"
"cg_partner_agreement_a3_r40",75,"TFL48","330000","1505.76499997377","329985.755796817","142.979814249037","0.543990245655265","72499.1089981124","546.964999973774","77723.6007968172"
"cg_partner_agreement_a3_r40",80,"TFL48","330000","1344.35999997854","329954.615917377","144.091612367237","1.16697916664804","68625.9489980266","428.759999978542","62701.3679173768"
